Дата,Выявлено всего,Заражений за день,Выздоровлений,Выздоровлений за день,Смертей за день,Смертей,"Летальность, %",% Выздоровлений,% Смертей,% прирост,Выздоровевших и умерших,Характерстика ДБ
2021-05-10,4888727,8465,4502906,6774,321,113647,2.32,0.00150662836411386,0.0028325362229320032,0.0017345380227538065,4616553,31.0
2021-05-11,4896842,8115,4509915,7009,329,113976,2.33,0.0015565503699166428,0.00289492903464228,0.0016599413303299837,4623891,32.0
2021-05-12,4905059,8217,4518529,8614,355,114331,2.33,0.0019100138250942587,0.003114690812100695,0.0016780202424337975,4632860,31.0
2021-05-13,4913439,8380,4527878,9349,392,114723,2.33,0.0020690361841209093,0.0034286414008448678,0.001708440204287065,4642601,31.0
2021-05-14,4922901,9462,4537634,9756,393,115116,2.34,0.002154651693353937,0.003425642634868442,0.0019257387748174981,4652750,31.0
2021-05-15,4931691,8790,4547500,9866,364,115480,2.34,0.00217426085929362,0.003162027867542383,0.0017855325548898906,4662980,31.0
2021-05-16,4940245,8554,4556073,8573,391,115871,2.35,0.0018852116547554145,0.0033858676827156486,0.0017344963421268569,4671944,31.0
2021-05-17,4949573,9328,4563254,7181,340,116211,2.35,0.001576138046954112,0.002934297624082039,0.001888165465477876,4679465,31.0
2021-05-18,4957756,8183,4572226,8972,364,116575,2.35,0.001966140828452589,0.0031322336095549463,0.0016532739288823706,4688801,31.0
2021-05-19,4965676,7920,4581787,9561,390,116965,2.36,0.002091103983048903,0.003345485738794673,0.0015974969320797785,4698752,31.0
2021-05-20,4974908,9232,4591770,9983,385,117350,2.36,0.002178844193324592,0.0032915829521651396,0.001859162780656565,4709120,31.0
2021-05-21,4983845,8937,4601120,9350,389,117739,2.36,0.002036251815748624,0.003314870046868368,0.001796415129686757,4718859,30.0
2021-05-22,4992554,8709,4610465,9345,386,118125,2.37,0.0020310272281531816,0.0032784379007806397,0.00174744599801957,4728590,30.0
2021-05-23,5001505,8951,4617762,7297,357,118482,2.37,0.0015827036969155994,0.0030222222222222594,0.0017928699419174075,4736244,30.0
2021-05-24,5009911,8406,4624212,6450,319,118801,2.37,0.001396780518355012,0.0026923920933137327,0.0016806941110725224,4743013,31.0
2021-05-25,5017795,7884,4632955,8743,393,119194,2.38,0.0018907005128656613,0.0033080529625171273,0.0015736806502151255,4752149,31.0
2021-05-26,5026168,8373,4642090,9135,406,119600,2.38,0.0019717437359094703,0.0034062117220665647,0.0016686612346659135,4761690,31.0
