Дата,Заражений за день,Day sin,Day cos,Характерстика ДБ
2020-11-18,20985,0.02991546616941065,-0.999552432283503,22.0
2020-11-19,23610,-2.450902947949836e-14,-1.0,22.0
2020-11-20,24318,-0.02991546616934601,-0.999552432283505,21.0
2020-11-21,24822,-0.05980415394501844,-0.998210129767736,21.0
2020-11-22,24581,-0.08963930890345437,-0.9959742939952372,21.0
2020-11-23,25173,-0.11939422454030159,-0.9928469263418305,21.0
2020-11-24,24326,-0.14904226617615535,-0.9888308262251314,21.0
2020-11-25,23675,-0.17855689479865378,-0.9839295885986266,20.0
2020-11-26,25487,-0.20791169081781227,-0.9781476007337944,20.0
2020-11-27,27543,-0.2370803777154753,-0.9714900382928728,20.0
2020-11-28,27100,-0.26603684556668844,-0.9639628606958496,19.0
2020-11-29,26683,-0.2947551744109525,-0.9555728057861258,19.0
2020-11-30,26338,-0.32320965745443503,-0.9463273837991727,19.0
2020-12-01,26402,-0.35137482408135234,-0.9362348706397335,19.0
2020-12-02,25345,-0.3792254626529719,-0.9253043004739789,19.0
2020-12-03,28145,-0.40673664307577284,-0.9135454576426131,19.0
2020-12-04,27403,-0.43388373911756417,-0.9009688679024163,18.0
2020-12-05,28782,-0.46064245045067087,-0.8875857890045341,18.0
2020-12-06,29039,-0.486988824404338,-0.8734082006171461,18.0
2020-12-07,28142,-0.5128992774059089,-0.8584487936018645,18.0
2020-12-08,26097,-0.538350616090716,-0.8427209586540176,18.0
2020-12-09,26190,-0.5633200580635914,-0.8262387743160158,18.0
2020-12-10,27927,-0.5877852522924728,-0.8090169943749477,18.0
2020-12-11,28585,-0.6117242991150351,-0.791071034656319,18.0
2020-12-12,28137,-0.6351157698421473,-0.7724169592246254,18.0
2020-12-13,28080,-0.6579387259397096,-0.7530714660036135,18.0
2020-12-14,27328,-0.6801727377709434,-0.733051871829804,18.0
2020-12-15,26689,-0.7017979028839599,-0.7123760969513758,18.0
2020-12-16,26509,-0.7227948638273863,-0.6910626489868701,18.0
2020-12-17,28214,-0.7431448254774138,-0.6691306063588365,18.0
2020-12-18,28552,-0.7628295718622357,-0.6465996012158362,18.0
2020-12-19,28209,-0.7818314824680229,-0.6234898018587421,18.0
2020-12-20,28948,-0.8001335480112217,-0.5998218946878932,18.0
2020-12-21,29350,-0.8177193856644018,-0.5756170656857155,19.0
2020-12-22,28776,-0.8345732537212947,-0.5508969814521147,19.0
2020-12-23,27250,-0.8506800656873511,-0.5256837698104859,19.0
2020-12-24,29935,-0.8660254037844112,-0.5000000000000475,19.0
2020-12-25,29018,-0.8805955318567293,-0.4738686624730147,19.0
2020-12-26,29258,-0.8943774076663451,-0.447313148315616,19.0
2020-12-27,28284,-0.9073586945678881,-0.42035722830951533,19.0
2020-12-28,27787,-0.9195277725514421,-0.3930250316539436,19.0
2020-12-29,27002,-0.9308737486442097,-0.36534102436638105,19.0
2020-12-30,26513,-0.9413864666609206,-0.3373299873827813,19.0
2020-12-31,27747,-0.9510565162951458,-0.3090169943749715,19.0
2021-01-01,27039,-0.9598752415428923,-0.28042738930599176,19.0
2021-01-02,26301,-0.9678347484506786,-0.25158676374446187,19.0
2021-01-03,24150,-0.9749279121818172,-0.2225209339563425,20.0
2021-01-04,23351,-0.9811483833941741,-0.19325591779554555,20.0
2021-01-05,24246,-0.9864905939235288,-0.16381791141509372,20.0
2021-01-06,24217,-0.9909497617679304,-0.13423326581768757,20.0
2021-01-07,23541,-0.9945218953682737,-0.10452846326764917,20.0
2021-01-08,23652,-0.9972037971811832,-0.07473009358638334,20.0
2021-01-09,23309,-0.998993066541313,-0.04486483035055083,21.0
2021-01-10,22851,-0.9998881018102734,-0.014959407015262854,21.0
2021-01-11,23315,-0.9998881018102729,0.014959407015301088,21.0
2021-01-12,22934,-0.9989930665413164,0.04486483035047546,21.0
2021-01-13,22850,-0.9972037971811804,0.07473009358642146,21.0
2021-01-14,24763,-0.9945218953682697,0.10452846326768721,21.0
2021-01-15,24715,-0.9909497617679406,0.1342332658176128,21.0
2021-01-16,24092,-0.9864905939235225,0.16381791141513144,21.0
2021-01-17,23586,-0.9811483833941668,0.19325591779558304,21.0
2021-01-18,22857,-0.9749279121818339,0.22252093395626896,22.0
2021-01-19,21734,-0.967834748450669,0.2515867637444989,22.0
2021-01-20,21152,-0.9598752415428815,0.2804273893060285,22.0
2021-01-21,21887,-0.9510565162951691,0.3090169943748997,22.0
2021-01-22,21513,-0.9413864666609078,0.33732998738281733,22.0
2021-01-23,20921,-0.9308737486441958,0.36534102436641663,22.0
2021-01-24,21127,-0.9195277725514718,0.3930250316538742,22.0
2021-01-25,19290,-0.907358694567872,0.42035722830955,22.0
2021-01-26,18241,-0.894377407666328,0.4473131483156502,22.0
2021-01-27,17741,-0.8805955318567112,0.4738686624730483,22.0
2021-01-28,19138,-0.8660254037844489,0.4999999999999822,22.0
2021-01-29,19238,-0.850680065687331,0.5256837698105185,22.0
2021-01-30,19032,-0.8345732537212736,0.5508969814521466,22.0
2021-01-31,18359,-0.8177193856644452,0.5756170656856539,22.0
2021-02-01,17648,-0.8001335480111987,0.5998218946879238,22.0
2021-02-02,16643,-0.781831482467999,0.6234898018587721,22.0
2021-02-03,16474,-0.7628295718622844,0.6465996012157785,22.0
2021-02-04,16714,-0.7431448254773882,0.6691306063588649,22.0
2021-02-05,16688,-0.7227948638273599,0.6910626489868977,22.0
2021-02-06,16627,-0.7017979028840137,0.7123760969513229,22.0
2021-02-07,16048,-0.6801727377709154,0.73305187182983,22.0
2021-02-08,15916,-0.6579387259396808,0.7530714660036387,22.0
2021-02-09,15019,-0.6351157698422056,0.7724169592245774,22.0
